user,text,favorite_count,retweet_count,created_at
elonmusk,@MarioNawfal I have one,1333,85,2024-11-22 12:12:21+00:00
elonmusk,@JohnnaCrider1 gm,650,38,2024-11-22 12:10:49+00:00
elonmusk,The new tunnel boring machine designed by @boringcompany engineers can immediately start digging a tunnel anywhere with no prior site preparation (this is a really big deal) https://t.co/08zbixZ6Lk,92483,11372,2024-11-22 12:10:33+00:00
elonmusk,Have to say that @joerogan’s profile description is awesome 😂 https://t.co/6Z8hUAQIBj,236214,11735,2024-11-22 12:02:40+00:00
elonmusk,@MarioNawfal @joerogan Joe’s is better 😂,1558,83,2024-11-22 11:58:51+00:00
elonmusk,@nfergus Yes,504,29,2024-11-22 11:58:24+00:00
elonmusk,@Ryanair 😂,2932,41,2024-11-22 11:57:49+00:00
elonmusk,You are the media now https://t.co/VofzMHrGXv,30155,3492,2024-11-22 11:57:08+00:00
elonmusk,The smartest people are on 𝕏 https://t.co/Gl9HqPYhJ3,76473,12150,2024-11-22 11:56:35+00:00
elonmusk,"@elon_docs Life must become sustainably multiplanetary before civilization drops below the point that resupply ships stop coming, whether due to war, population collapse or some other reason.",1310,133,2024-11-22 11:55:49+00:00
elonmusk,@BillAckman Yeah,1573,104,2024-11-22 11:51:03+00:00
elonmusk,@DogecoinNorway @DOGE will reprogram the base code of the matrix,1858,295,2024-11-22 05:39:32+00:00
elonmusk,@Villgecrazylady Tax dollars at “work” 🤨,874,64,2024-11-22 05:27:21+00:00
elonmusk,"If you’re having difficulty play 𝕏 videos on your TV, please comment below https://t.co/OwzZ8MBXAX",22028,2149,2024-11-22 05:25:04+00:00
elonmusk,@tunguz 🤣🤣,739,37,2024-11-22 05:23:30+00:00
elonmusk,Yes https://t.co/m9diizzsNM,116836,9322,2024-11-22 05:23:01+00:00
elonmusk,Population collapse due to plummeting birth rates continues to worsen https://t.co/vBBLAycWwz,46181,7001,2024-11-22 05:22:45+00:00
elonmusk,"@amuse For a planet colonizer class rocket, it certainly does",958,56,2024-11-22 05:21:55+00:00
elonmusk,"80%, but the point remains valid https://t.co/xQGx1fRRly",526369,47394,2024-11-22 05:21:05+00:00
elonmusk,https://t.co/yeXaOrINsO,113587,15382,2024-11-22 05:20:06+00:00
elonmusk,@CortesSteve @DonaldJTrumpJr @TuckerCarlson @JDVance I did the same. JD is great.,1894,138,2024-11-22 05:15:51+00:00
elonmusk,@XEng Yay!,722,28,2024-11-22 05:14:26+00:00
elonmusk,https://t.co/byYWtOsnUA,315621,32378,2024-11-22 05:14:12+00:00
elonmusk,@nicksortor Haha awesome,1224,65,2024-11-22 05:11:23+00:00
elonmusk,@LibertyCappy It’s true,978,58,2024-11-22 05:10:14+00:00
elonmusk,True https://t.co/vdfxzhIWz7,85454,11065,2024-11-22 05:08:47+00:00
elonmusk,@AMAZlNGNATURE 😂,665,35,2024-11-22 05:06:18+00:00
elonmusk,Deregulation and reducing government spending leads to prosperity https://t.co/E46tq9YhP3,204325,32794,2024-11-22 04:59:44+00:00
elonmusk,@DeAngelisCorey @CTULocal1 !!,797,59,2024-11-22 04:58:33+00:00
elonmusk,Those are the two paths https://t.co/46T9SUZqfS,91528,10460,2024-11-22 04:57:50+00:00
elonmusk,@sabatage @teslaownersSV Yes,524,25,2024-11-22 04:50:10+00:00
elonmusk,@natemcgrady Yeah,496,21,2024-11-22 04:31:16+00:00
elonmusk,@Kristennetten That would be cool,628,37,2024-11-22 04:27:38+00:00
elonmusk,@TheFigen_ Wow,756,35,2024-11-22 04:24:50+00:00
elonmusk,𝕏 is now #1 for news in India! https://t.co/beLobq1Dfo,164848,14935,2024-11-22 04:22:20+00:00
elonmusk,@FredLohner We should reduce the swipe distance,481,22,2024-11-22 04:19:56+00:00
elonmusk,"High time you got your money’s worth from government 
https://t.co/1T6TNoDBFA",69585,11798,2024-11-22 04:15:26+00:00
elonmusk,"You are the media now. 

𝕏 what you know.

𝕏 what you hear.

𝕏 what you see. https://t.co/AVsmM0ZSVd",64381,11963,2024-11-22 04:14:07+00:00
elonmusk,@cb_doge Yes,1089,62,2024-11-22 04:09:14+00:00
elonmusk,@Kristennetten True,732,42,2024-11-22 03:51:22+00:00
elonmusk,😂 https://t.co/1WZSqn0WtZ,21969,2309,2024-11-22 03:47:09+00:00
elonmusk,@MarioNawfal 😂,1278,69,2024-11-22 03:32:11+00:00
